Predicted age composition of catch-at-age,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2006,pred,0.00169407,0.0322772,0.16201,0.196753,0.134546,0.100892,0.0429786,0.0535823,0.0740773,0.037601,0.0378173,0.0433778,0.0200479,0.0109589,0.00934884,0.0420376
2007,pred,0.00166521,0.02841,0.0570752,0.285589,0.135597,0.132088,0.0528059,0.048516,0.0416227,0.0578401,0.0295025,0.029825,0.0342104,0.0158884,0.00814585,0.0412183
2008,pred,0.001988,0.0316651,0.0569752,0.114109,0.223755,0.151229,0.078674,0.0676921,0.0428606,0.0369603,0.0516116,0.0264609,0.0267501,0.0308334,0.0134325,0.0450032
2009,pred,0.00184058,0.0359768,0.0604337,0.10842,0.0850039,0.237366,0.0856024,0.0959452,0.0568545,0.0361842,0.0313552,0.04401,0.0225636,0.0229218,0.0247813,0.0507407
2010,pred,0.00157609,0.0347868,0.0717503,0.120321,0.0845466,0.0944358,0.140664,0.109318,0.0844188,0.050282,0.0321575,0.0280093,0.0393137,0.0202544,0.0192965,0.0688701
2011,pred,0.000970959,0.0278505,0.0648774,0.133621,0.0878581,0.0879337,0.0524249,0.16814,0.090092,0.0699304,0.0418558,0.0269062,0.0234353,0.0330546,0.0159712,0.0750779
2012,pred,0.00120191,0.0181425,0.0549573,0.12803,0.103354,0.096875,0.0516937,0.0664385,0.146895,0.0791139,0.0617093,0.037125,0.0238651,0.0208884,0.0276246,0.0820849
2013,pred,0.00198573,0.0226544,0.0361501,0.109734,0.100357,0.115544,0.0577403,0.0664035,0.0588992,0.130896,0.070842,0.0555409,0.0334141,0.0215849,0.0177108,0.100543
2014,pred,0.000964027,0.0375186,0.0452589,0.072387,0.0863848,0.112636,0.0692035,0.0744459,0.0591402,0.0527263,0.117751,0.0640547,0.0502197,0.0303608,0.0183866,0.108562
2015,pred,0.0019823,0.0179695,0.0739147,0.0892857,0.0561233,0.0954558,0.0664399,0.0878521,0.0652654,0.0521136,0.046689,0.104803,0.0570114,0.0449165,0.0254602,0.114718
Observed age composition of catch-at-age,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1974,obs,0.343753,0.470564,0.00698536,0.0523924,0.0151075,0.000924835,0.00420464,0.00410395,0.0122746,0.0104491,0.0106362,0.00435816,0.00837759,0.0104697,0.0106431,0.0347565
1975,obs,0.154117,0.66867,0.0797778,0.0215052,0.000917589,0.000219857,0.00124716,0.00398735,0.00534335,0.00536547,0.00486374,0.00754843,0.00631124,0.00486808,0.0143861,0.0208713
1976,obs,0.0578302,0.251932,0.403985,0.134798,0.0267773,0.0117281,0.00116834,0.00211224,0.004733,0.00450573,0.00807182,0.0143368,0.0185265,0.0129114,0.0132608,0.0333228
1977,obs,0.0110119,0.171634,0.11059,0.181825,0.302843,0.0359972,0.0293602,0.00406053,0.00305936,0.00359423,0.00518514,0.00727271,0.0196973,0.0184365,0.0188499,0.0765839
1978,obs,0.0254955,0.121521,0.168424,0.231326,0.140621,0.120304,0.0148783,0.00697683,0.00568263,0.00442248,0.00562082,0.00740445,0.0164903,0.0137745,0.0189968,0.0980603
1979,obs,0.0278301,0.0613948,0.173155,0.200456,0.222191,0.0352565,0.0598546,0.024067,0.00782413,0.00668289,0.0073552,0.0149177,0.0248403,0.0191639,0.0243118,0.090699
1980,obs,0.0480371,0.134354,0.193937,0.138642,0.120503,0.0340527,0.0571414,0.0840335,0.0291381,0.00918581,0.00921066,0.00856873,0.00991057,0.0148721,0.0160386,0.0923744
1981,obs,0.0921187,0.0744874,0.344996,0.0118415,0.13466,0.0655307,0.0340273,0.0307789,0.0437754,0.023675,0.0152664,0.0135179,0.0107868,0.0114579,0.012788,0.0802919
1982,obs,0.201741,0.134301,0.171532,0.0744671,0.0209063,0.0329541,0.038673,0.0275903,0.0370699,0.0460614,0.0437817,0.0219602,0.010051,0.0104836,0.00865871,0.119769
1983,obs,0.161398,0.0786502,0.0936449,0.0862412,0.0619691,0.0559229,0.0631808,0.0668618,0.0567849,0.0350861,0.0419318,0.0339243,0.027341,0.0188089,0.0124546,0.1058
1984,obs,0.0204544,0.186274,0.126095,0.0825924,0.166461,0.0994901,0.0433254,0.0211111,0.0317257,0.0358727,0.0331609,0.0357288,0.0269995,0.0220298,0.0121199,0.0565595
1985,obs,0.0119864,0.105889,0.206708,0.17867,0.111294,0.120363,0.0717268,0.0201703,0.0140069,0.0151053,0.0193029,0.0258242,0.0253769,0.020297,0.015585,0.0376938
1986,obs,0.0159601,0.151286,0.244296,0.0969261,0.177171,0.0727625,0.0469784,0.043913,0.0207199,0.0137968,0.0142575,0.0196342,0.0177752,0.0171227,0.0123464,0.0350542
1987,obs,0.0269204,0.235516,0.212137,0.133339,0.14121,0.0886639,0.0321564,0.0265006,0.0220149,0.0123864,0.00918339,0.0118053,0.00942828,0.0101727,0.00741279,0.0211519
1988,obs,0.10505,0.0897229,0.276079,0.1185,0.0925217,0.0850562,0.0722059,0.0385788,0.0280868,0.0174855,0.0121025,0.0125116,0.00937398,0.00967756,0.00747475,0.025573
1989,obs,0.0180833,0.141107,0.244127,0.0549974,0.127796,0.0533789,0.075979,0.0809501,0.0417293,0.0324053,0.0271492,0.0216457,0.0156797,0.014771,0.010636,0.039565
1990,obs,0.0317479,0.062283,0.40122,0.127812,0.0715255,0.0682901,0.036345,0.0445595,0.0466325,0.0214919,0.0177885,0.0135754,0.00999792,0.0113135,0.00741924,0.0279984
1991,obs,0.0202492,0.0985958,0.442988,0.0770692,0.0616248,0.0395061,0.0511398,0.0477471,0.0455032,0.0330376,0.0202769,0.0145432,0.0109029,0.0102771,0.00656553,0.0199739
1992,obs,0.00171505,0.0830946,0.256819,0.0416855,0.0835091,0.0743974,0.0637251,0.0983553,0.0622051,0.0514393,0.0511629,0.0362843,0.0194589,0.0189265,0.0123833,0.0448392
1993,obs,0.00869141,0.024159,0.0535175,0.240887,0.141408,0.0677276,0.101139,0.075869,0.109927,0.0467644,0.0292662,0.0193134,0.0134986,0.0131102,0.00882216,0.0458991
1994,obs,0.0445669,0.0747133,0.0366645,0.0911532,0.153404,0.102919,0.0748973,0.145191,0.0807102,0.0603585,0.0380312,0.0233917,0.0135576,0.0120375,0.00826157,0.0401426
1995,obs,0.0164307,0.0234839,0.0933656,0.185664,0.16904,0.145019,0.0432183,0.0605553,0.0792116,0.0477316,0.0272773,0.0208856,0.0134632,0.0143038,0.00831768,0.052033
1996,obs,0.00736476,0.118141,0.225318,0.120288,0.130936,0.0859797,0.053738,0.0634168,0.0293268,0.0414663,0.0300828,0.0210077,0.0141546,0.0142523,0.00951784,0.0350099
1997,obs,0.00627428,0.0155865,0.192816,0.159804,0.0792015,0.0741217,0.0693891,0.112743,0.0729561,0.0362859,0.0372778,0.0342151,0.023448,0.0224642,0.0117012,0.0517153
1998,obs,0.00860152,0.0191992,0.113046,0.177308,0.0773429,0.0597627,0.068372,0.128767,0.116142,0.0660694,0.0352902,0.0315022,0.0257613,0.0177807,0.00979999,0.0452552
1999,obs,0.00148501,0.0176617,0.0426843,0.102855,0.153444,0.0960333,0.092584,0.0901061,0.0866225,0.106655,0.0759579,0.0358798,0.0213764,0.0188087,0.0116875,0.0461593
