"","IndexNums","Years","1","2","3","4","5","6","7","8","9","10"
"1",1,1981,0,0,0,0,0,1891.60985210584,2252.14725599557,3506.3615610092,4414.64759210841,37684.8064963277
"2",1,1982,0,0,0,0,0,1367.1737976517,2998.19059872974,3753.21938087068,4923.11171400234,43874.5481011744
"3",1,1983,0,0,0,0,0,685.911743010063,1066.36872228716,2490.53299377766,2620.56349439695,25287.6223277909
"4",1,1984,0,0,0,0,0,1390.01741643203,1590.36919098138,2594.96402714115,5179.10296234364,42965.7273698113
"5",1,1985,0,0,0,0,0,1418.17214505526,1489.22538746639,1798.14393671833,2478.1461674487,34228.3070340373
"6",1,1986,0,0,0,0,0,1778.27883395157,2418.0996381732,2693.54494151308,2756.68165566746,41515.3510516303
"7",1,1987,0,0,0,0,0,2411.87060859367,2432.20455724147,3513.81539034116,3306.81658957747,40305.4363709077
"8",1,1988,0,0,0,0,0,2873.47259623492,2889.2662399045,3074.69017785919,3772.95219815894,34749.9661582891
"9",1,1989,0,0,0,0,0,2753.43301841501,6252.2072032687,6589.87314441587,5954.75207579795,55362.462628238
"10",1,1990,0,0,0,0,0,4806.48391444528,6407.14657561946,15263.5638524315,13610.4848688825,93724.1909163732
"11",1,1991,0,0,0,0,0,4355.83718835707,4353.07940183729,6105.96268940128,12306.7409159949,64212.5527678733
"12",1,1992,0,0,0,0,0,4600.04926895882,6710.1601262388,7045.83118845551,8291.06577685503,77041.3204997495
"13",1,1993,0,0,0,0,0,6120.31307270312,4656.97551163815,7147.96056703826,6295.80433529048,56211.3827385773
"14",1,1994,0,0,0,0,0,14937.5749543271,18233.4596766529,14270.3000199469,18490.4518205764,119426.778243302
"15",1,1995,0,0,0,0,0,8234.00859099172,11019.1744122642,14090.1164034481,8952.32959034514,62322.4661942796
"16",1,1996,0,0,0,0,0,7210.24095185334,8102.7653014779,11433.3373788691,12302.8493226238,44327.1058109647
"17",1,1997,0,0,0,0,0,9016.13338997582,10708.729350139,12665.0628671842,15110.4493226372,53574.4347843812
"18",1,1998,0,0,0,0,0,8700.13564430949,11105.9935782853,13815.0700336009,13809.1599147006,54545.3911394038
"19",1,1999,0,0,0,0,0,5448.75341117232,9247.11816332325,12452.5868334376,12962.6671322158,46754.6946769716
"20",1,2000,0,0,0,0,0,8684.05821328723,9872.27546339661,17697.6254994755,20160.5597804766,69756.0171358653
"21",1,2001,0,0,0,0,0,4930.1973639713,8603.2282453463,10274.8252498965,15644.6835538669,58063.8412606404
"22",1,2002,0,0,0,0,0,4307.24041740339,5537.91860200663,10304.2378971358,10414.2849663256,54698.4578169047
"23",1,2003,0,0,0,0,0,7299.32999179334,7242.02571195258,9797.26988946934,15477.8974927911,71436.9730772948
"24",1,2004,0,0,0,0,0,8513.01093535954,15926.4825016416,16629.8538630013,18893.2423812696,121678.746218716
"25",1,2005,0,0,0,0,0,5668.7385677651,7105.60441118423,14003.903862625,12362.5228499171,75220.1976540268
"26",1,2006,0,0,0,0,0,8774.45253382725,11577.3563015669,15152.0089429353,25359.4774759588,114399.733683515
"27",1,2007,0,0,0,0,0,9484.63890129857,8876.31881719324,12397.3119339588,13662.0895468505,91534.5814072748
"28",1,2008,0,0,0,0,0,8223.87938937866,13495.7413527958,13396.0801516255,15880.0944990921,98886.0410120569
"29",1,2009,0,0,0,0,0,7368.68672599584,8391.76701078271,14516.8828368932,12203.9325708411,77339.6743459176
"30",1,2010,0,0,0,0,0,4020.89631345206,6412.09475515352,7740.19421320108,11405.3911719081,52045.0205902394
"31",1,2011,0,0,0,0,0,4052.7102720573,6194.01631831152,10380.6622135969,10670.1397305629,64624.1925760315
"32",2,2012,0,0,0,0,0,0,0,0,0,63574.0127204469
"33",2,2013,0,0,0,0,0,0,0,0,0,32659.0366139747
"34",2,2014,0,0,0,0,0,0,0,0,0,51907.2079966918
"35",2,2015,0,0,0,0,0,0,0,0,0,41143.1347816172
"36",3,1975,0,0,0,0,0,2681.24917625858,3320.99345327223,6611.47947163109,5844.53493084356,56586.2980582899
"37",3,1976,0,0,0,0,0,3042.26117122849,2574.42320979965,3013.39756396666,5410.68011836938,36438.6711881899
"38",3,1977,0,0,0,0,0,1018.524352401,2168.58575172266,1744.26896833629,1822.32266979759,17902.2152306795
"39",3,1978,0,0,0,0,0,823.180735440669,911.094636600242,1847.51605768782,1337.32991537727,10748.1648903896
"40",3,1979,0,0,0,0,0,903.232655531252,1336.67086060101,1415.55925894543,2588.52585476231,11956.5839583422
"41",3,1980,0,0,0,0,0,1221.88462528266,1886.56462003829,2644.73683393043,2516.54027129232,18029.7524425814
"42",3,1981,0,0,0,0,0,859.291782410089,1064.1978543894,1554.853237431,1945.32816493964,10855.0952537417
"43",3,1982,0,0,0,0,0,1714.90436502243,3910.21713289431,4590.9340012488,5980.30069866183,34870.982622038
"44",3,1983,0,0,0,0,0,1880.44213502671,3038.30831750917,6650.73129805244,6944.56312148998,43858.8164377866
"45",3,1984,0,0,0,0,0,2306.29275715473,2742.85659244587,4196.01114213442,8313.36015965542,45146.6417450892
"46",3,1985,0,0,0,0,0,1277.67016121129,1395.30204371299,1580.52968384917,2163.82072941798,19544.1603235321
"47",3,1986,0,0,0,0,0,1276.73647158314,1805.70108154986,1887.38202048074,1919.24716455963,18902.4431627161
"48",3,1987,0,0,0,0,0,1196.30679251522,1254.95005598947,1701.6351984013,1591.51276057832,12683.3505448893
"49",3,1988,0,0,0,0,0,2998.46470002168,3135.15691816467,3129.7247621769,3814.65621101333,22983.5236079117
"50",3,1989,0,0,0,0,0,1086.62499941064,2567.32145140808,2540.83854259621,2282.78053416007,13879.5266671855
"51",3,1990,0,0,0,0,0,1364.05739204892,1893.06094134212,4239.04612490743,3762.16686482831,16949.0568985565
"52",3,1991,0,0,0,0,0,2641.55945660366,2746.36512153342,3616.60001993016,7246.10377595774,24740.3470400783
"53",3,1992,0,0,0,0,0,3944.29786639963,5983.91464497931,5896.82589409794,6895.04957495357,41959.9190590353
"54",3,1993,0,0,0,0,0,5674.50826225806,4490.19546612809,6466.58537571579,5658.41433715271,33071.1267145768
"55",3,1994,0,0,0,0,0,5008.64376505486,6366.57270201635,4686.02316545017,6046.13197706846,25564.6627939089
