Predicted age composition of Catch-at-age,,1,2,3,4,5,6,7,8,9,10
1982,obs,0.356341,0.219251,0.182995,0.0468816,0.0189789,0.0173086,0.0174821,0.0200017,0.0182927,0.10246799
1983,obs,0.559992,0.196683,0.0669728,0.0305573,0.0212642,0.0102666,0.0110313,0.0123287,0.014347,0.07655715
1984,obs,0.120346,0.472637,0.0867133,0.0731103,0.0498719,0.0267323,0.0199009,0.0194999,0.0234774,0.10771062
1985,obs,0.0844702,0.355737,0.299077,0.0832603,0.0433514,0.0188658,0.0100063,0.00844059,0.00987308,0.08691876
1986,obs,0.438826,0.205466,0.125662,0.0745363,0.0187624,0.023535,0.0141469,0.0088909,0.00802753,0.08214722
1987,obs,0.213299,0.436476,0.147099,0.0571932,0.0293787,0.0207271,0.0128333,0.00949831,0.00958445,0.06391079
1988,obs,0.451535,0.169993,0.210776,0.0437752,0.0161692,0.0154882,0.014798,0.0115005,0.00919741,0.05676707
1989,obs,0.333716,0.376709,0.0814995,0.0718684,0.0368688,0.0102647,0.0158378,0.0142427,0.00836835,0.05062444
1990,obs,0.284213,0.247984,0.164377,0.116416,0.0682595,0.0176576,0.0142997,0.015472,0.0134727,0.05784825
1991,obs,0.16855,0.325907,0.203042,0.101373,0.0738332,0.0193734,0.0118858,0.0109714,0.0178684,0.06719577
1992,obs,0.163314,0.401297,0.255042,0.0691343,0.0236606,0.0139211,0.011933,0.00771415,0.00802416,0.04596005
1993,obs,0.148561,0.437426,0.25325,0.0648006,0.0299809,0.0129549,0.0106482,0.00680215,0.00575172,0.0298255
1994,obs,0.30965,0.322095,0.144854,0.0451979,0.0283281,0.0242656,0.02046,0.0183485,0.0136387,0.07316195
1995,obs,0.361076,0.227435,0.162993,0.0601761,0.0329656,0.0306315,0.0193561,0.0164523,0.0138827,0.07503176
1996,obs,0.337309,0.226889,0.186492,0.12586,0.0344539,0.0125364,0.00829354,0.00868004,0.00935422,0.05013298
1997,obs,0.266208,0.274521,0.193042,0.0943705,0.0426578,0.0229691,0.0134702,0.0141673,0.0153465,0.06324764
1998,obs,0.178732,0.225018,0.302942,0.143794,0.0535739,0.0158643,0.0083212,0.0144302,0.00982953,0.04749473
1999,obs,0.313405,0.272894,0.154973,0.115972,0.0308083,0.0138166,0.0166968,0.0102221,0.0143359,0.05687684
